block_num,timestamp,transactionId,protocol,tvl,usd,period,balances,prices
252875970,1655607607,07f4dbbf983808b8051af21b94f6db50427b629492a576e0def3936c52f25f07,lend.defi,1320020.7919 EOS,1152378.1514 USD,2022-06-19T03:00:00,493863.4233 EOS|721235.3829 USDT,0.8730 USD|1.0000 USD
252875970,1655607607,07f4dbbf983808b8051af21b94f6db50427b629492a576e0def3936c52f25f07,lend.pizza,494272.4350 EOS,431499.8358 USD,2022-06-19T03:00:00,1.0000 EOS|12333.9221 EOS|305068.3196 USDT|132489.2661 EOS,0.8730 USD|0.8730 USD|1.0000 USD|0.8730 USD
252875970,1655607607,07f4dbbf983808b8051af21b94f6db50427b629492a576e0def3936c52f25f07,swap.defi,7588796.9311 EOS,6625019.7209 USD,2022-06-19T03:00:00,1413109.3309 EOS|2726023.2677 USDT|3053095.0830 EOS,0.8730 USD|1.0000 USD|0.8730 USD
252877165,1655608205,f7fe5a08e95f749d3df6eea0b3761486257d559d36e7ff5cfb07cff85e727d8c,danchorsmart,3263564.9575 EOS,2857903.8333 USD,2022-06-19T03:10:00,12535.5873 EOS|107300.7927 USDT|3128497.9182 EOS,0.8757 USD|1.0000 USD|0.8757 USD
252877165,1655608205,f7fe5a08e95f749d3df6eea0b3761486257d559d36e7ff5cfb07cff85e727d8c,lend.defi,1282458.4475 EOS,1123048.8625 USD,2022-06-19T03:10:00,453863.4305 EOS|725600.6565 USDT,0.8757 USD|1.0000 USD
252877165,1655608205,f7fe5a08e95f749d3df6eea0b3761486257d559d36e7ff5cfb07cff85e727d8c,lend.pizza,493081.4162 EOS,431791.3962 USD,2022-06-19T03:10:00,1.0000 EOS|12333.9221 EOS|304968.8547 USDT|132489.2661 EOS,0.8757 USD|0.8757 USD|1.0000 USD|0.8757 USD
252877165,1655608205,f7fe5a08e95f749d3df6eea0b3761486257d559d36e7ff5cfb07cff85e727d8c,swap.defi,7577089.6890 EOS,6635257.4407 USD,2022-06-19T03:10:00,1402119.9732 EOS|2733825.6161 USDT|3053095.0830 EOS,0.8757 USD|1.0000 USD|0.8757 USD
252878359,1655608802,a6c8e02a0d5fbbf5b4439565947b79177f27f266597c38330cc88f98344b9d57,danchorsmart,3262924.6705 EOS,2872352.5875 USD,2022-06-19T03:20:00,12535.5873 EOS|107300.7927 USDT|3128497.9182 EOS,0.8803 USD|1.0000 USD|0.8803 USD
252878359,1655608802,a6c8e02a0d5fbbf5b4439565947b79177f27f266597c38330cc88f98344b9d57,lend.defi,1275515.7929 EOS,1122836.5525 USD,2022-06-19T03:20:00,453863.4305 EOS|723300.5747 USDT,0.8803 USD|1.0000 USD
252878359,1655608802,a6c8e02a0d5fbbf5b4439565947b79177f27f266597c38330cc88f98344b9d57,lend.pizza,491357.9839 EOS,432542.4333 USD,2022-06-19T03:20:00,1.0000 EOS|12333.9221 EOS|305053.7005 USDT|132489.2661 EOS,0.8803 USD|0.8803 USD|1.0000 USD|0.8803 USD
252878359,1655608802,a6c8e02a0d5fbbf5b4439565947b79177f27f266597c38330cc88f98344b9d57,swap.defi,7559297.8779 EOS,6654449.9220 USD,2022-06-19T03:20:00,1390051.2466 EOS|2743148.2082 USDT|3053095.0830 EOS,0.8803 USD|1.0000 USD|0.8803 USD
252879560,1655609402,156003b1cbcc08bb8a594561fb3f80d08045eebc688e3f1296ffda09b97b4eec,danchorsmart,3262565.7204 EOS,2880519.2746 USD,2022-06-19T03:30:00,12535.5873 EOS|107300.7927 USDT|3128497.9182 EOS,0.8829 USD|1.0000 USD|0.8829 USD
252879560,1655609402,156003b1cbcc08bb8a594561fb3f80d08045eebc688e3f1296ffda09b97b4eec,lend.defi,1273096.1574 EOS,1124016.5974 USD,2022-06-19T03:30:00,453863.4305 EOS|723300.5747 USDT,0.8829 USD|1.0000 USD
252879560,1655609402,156003b1cbcc08bb8a594561fb3f80d08045eebc688e3f1296ffda09b97b4eec,lend.pizza,490337.4971 EOS,432918.9762 USD,2022-06-19T03:30:00,1.0000 EOS|12333.9221 EOS|305053.7005 USDT|132489.2661 EOS,0.8829 USD|0.8829 USD|1.0000 USD|0.8829 USD
252879560,1655609402,156003b1cbcc08bb8a594561fb3f80d08045eebc688e3f1296ffda09b97b4eec,swap.defi,7551075.5611 EOS,6666844.6129 USD,2022-06-19T03:30:00,1395109.7686 EOS|2739524.5496 USDT|3053095.0830 EOS,0.8829 USD|1.0000 USD|0.8829 USD
252880772,1655610008,3146d65f7013d086a269c0965b9c6fa23d5b505437c6fb7084832894b52b7be2,danchorsmart,3263091.0558 EOS,2868583.3472 USD,2022-06-19T03:40:00,12535.5873 EOS|107300.7927 USDT|3128497.9182 EOS,0.8791 USD|1.0000 USD|0.8791 USD
252880772,1655610008,3146d65f7013d086a269c0965b9c6fa23d5b505437c6fb7084832894b52b7be2,lend.defi,1276637.3750 EOS,1122291.9164 USD,2022-06-19T03:40:00,453863.4305 EOS|723300.5747 USDT,0.8791 USD|1.0000 USD
252880772,1655610008,3146d65f7013d086a269c0965b9c6fa23d5b505437c6fb7084832894b52b7be2,lend.pizza,491831.0138 EOS,432368.6443 USD,2022-06-19T03:40:00,1.0000 EOS|12333.9221 EOS|305053.7005 USDT|132489.2661 EOS,0.8791 USD|0.8791 USD|1.0000 USD|0.8791 USD
252880772,1655610008,3146d65f7013d086a269c0965b9c6fa23d5b505437c6fb7084832894b52b7be2,swap.defi,7564590.4889 EOS,6650031.4988 USD,2022-06-19T03:40:00,1395920.2666 EOS|2738902.1051 USDT|3053095.0830 EOS,0.8791 USD|1.0000 USD|0.8791 USD
252881965,1655610605,6d754d8212f3e7227d358019ed26f712cb3ef12d5dde7fcf98fbdcc985c1ba80,danchorsmart,3263564.9575 EOS,2857903.8333 USD,2022-06-19T03:50:00,12535.5873 EOS|107300.7927 USDT|3128497.9182 EOS,0.8757 USD|1.0000 USD|0.8757 USD
252881965,1655610605,6d754d8212f3e7227d358019ed26f712cb3ef12d5dde7fcf98fbdcc985c1ba80,lend.defi,1279637.8838 EOS,1120578.8949 USD,2022-06-19T03:50:00,453669.4305 EOS|723300.5747 USDT,0.8757 USD|1.0000 USD
252881965,1655610605,6d754d8212f3e7227d358019ed26f712cb3ef12d5dde7fcf98fbdcc985c1ba80,lend.pizza,493178.3053 EOS,431876.2420 USD,2022-06-19T03:50:00,1.0000 EOS|12333.9221 EOS|305053.7005 USDT|132489.2661 EOS,0.8757 USD|0.8757 USD|1.0000 USD|0.8757 USD
252881965,1655610605,6d754d8212f3e7227d358019ed26f712cb3ef12d5dde7fcf98fbdcc985c1ba80,swap.defi,7585553.7376 EOS,6642669.4081 USD,2022-06-19T03:50:00,1409845.5538 EOS|2734472.2926 USDT|3053095.0830 EOS,0.8757 USD|1.0000 USD|0.8757 USD
252883156,1655611200,67265b1bbc60d34fed9995556c0f45f0be0b0210d447cc6afcc97f388da07d4d,danchorsmart,3264155.4706 EOS,2844711.4927 USD,2022-06-19T04:00:00,12535.5873 EOS|107300.7927 USDT|3128497.9182 EOS,0.8715 USD|1.0000 USD|0.8715 USD
252883156,1655611200,67265b1bbc60d34fed9995556c0f45f0be0b0210d447cc6afcc97f388da07d4d,lend.defi,1283618.4547 EOS,1118673.4833 USD,2022-06-19T04:00:00,453669.4305 EOS|723300.5747 USDT,0.8715 USD|1.0000 USD
252883156,1655611200,67265b1bbc60d34fed9995556c0f45f0be0b0210d447cc6afcc97f388da07d4d,lend.pizza,494857.1204 EOS,431267.9805 USD,2022-06-19T04:00:00,1.0000 EOS|12333.9221 EOS|305053.7005 USDT|132489.2661 EOS,0.8715 USD|0.8715 USD|1.0000 USD|0.8715 USD
252883156,1655611200,67265b1bbc60d34fed9995556c0f45f0be0b0210d447cc6afcc97f388da07d4d,swap.defi,7601888.9119 EOS,6625046.1868 USD,2022-06-19T04:00:00,1417472.3920 EOS|2728946.6324 USDT|3053095.0830 EOS,0.8715 USD|1.0000 USD|0.8715 USD
252884357,1655611801,ad68135a924146045a91c6f07fb4059eaebafc1b2f20ce4af1d9b0b7a9156128,danchorsmart,3264226.9777 EOS,2843141.6976 USD,2022-06-19T04:10:00,12536.4159 EOS|107300.7927 USDT|3128497.9182 EOS,0.8710 USD|1.0000 USD|0.8710 USD
252884357,1655611801,ad68135a924146045a91c6f07fb4059eaebafc1b2f20ce4af1d9b0b7a9156128,lend.defi,1284094.8893 EOS,1118446.6486 USD,2022-06-19T04:10:00,453669.4305 EOS|723300.5747 USDT,0.8710 USD|1.0000 USD
252884357,1655611801,ad68135a924146045a91c6f07fb4059eaebafc1b2f20ce4af1d9b0b7a9156128,lend.pizza,495058.0577 EOS,431195.5683 USD,2022-06-19T04:10:00,1.0000 EOS|12333.9221 EOS|305053.7005 USDT|132489.2661 EOS,0.8710 USD|0.8710 USD|1.0000 USD|0.8710 USD
252884357,1655611801,ad68135a924146045a91c6f07fb4059eaebafc1b2f20ce4af1d9b0b7a9156128,swap.defi,7608450.1626 EOS,6626960.0917 USD,2022-06-19T04:10:00,1422746.0351 EOS|2728502.4780 USDT|3053095.0830 EOS,0.8710 USD|1.0000 USD|0.8710 USD
252885556,1655612401,96d3acff57c91f6a053ccb3485bb8e455914a58fa14570c4a0cbd59a4e6028d1,danchorsmart,3263818.1682 EOS,2852250.6972 USD,2022-06-19T04:20:00,12536.4159 EOS|107300.7927 USDT|3128497.9182 EOS,0.8739 USD|1.0000 USD|0.8739 USD
252885556,1655612401,96d3acff57c91f6a053ccb3485bb8e455914a58fa14570c4a0cbd59a4e6028d1,lend.defi,1281339.1577 EOS,1119762.2900 USD,2022-06-19T04:20:00,453669.4305 EOS|723300.5747 USDT,0.8739 USD|1.0000 USD
252885556,1655612401,96d3acff57c91f6a053ccb3485bb8e455914a58fa14570c4a0cbd59a4e6028d1,lend.pizza,493895.8216 EOS,431615.5585 USD,2022-06-19T04:20:00,1.0000 EOS|12333.9221 EOS|305053.7005 USDT|132489.2661 EOS,0.8739 USD|0.8739 USD|1.0000 USD|0.8739 USD
252885556,1655612401,96d3acff57c91f6a053ccb3485bb8e455914a58fa14570c4a0cbd59a4e6028d1,swap.defi,7598066.7251 EOS,6639950.5111 USD,2022-06-19T04:20:00,1420980.7381 EOS|2730055.6511 USDT|3053095.0830 EOS,0.8739 USD|1.0000 USD|0.8739 USD
252886757,1655613001,d6c2015d0a0cd16d07dd0d0724f5e4a387b886bd87f9e2150617a166544f7498,danchorsmart,3263733.9254 EOS,2854135.3178 USD,2022-06-19T04:30:00,12536.4159 EOS|107300.7927 USDT|3128497.9182 EOS,0.8745 USD|1.0000 USD|0.8745 USD
252886757,1655613001,d6c2015d0a0cd16d07dd0d0724f5e4a387b886bd87f9e2150617a166544f7498,lend.defi,1280771.3939 EOS,1120034.5840 USD,2022-06-19T04:30:00,453669.4305 EOS|723300.6671 USDT,0.8745 USD|1.0000 USD
252886757,1655613001,d6c2015d0a0cd16d07dd0d0724f5e4a387b886bd87f9e2150617a166544f7498,lend.pizza,493656.3213 EOS,431702.4530 USD,2022-06-19T04:30:00,1.0000 EOS|12333.9221 EOS|305053.7005 USDT|132489.2661 EOS,0.8745 USD|0.8745 USD|1.0000 USD|0.8745 USD
252886757,1655613001,d6c2015d0a0cd16d07dd0d0724f5e4a387b886bd87f9e2150617a166544f7498,swap.defi,7595927.8146 EOS,6642638.8739 USD,2022-06-19T04:30:00,1420984.2509 EOS|2730056.4965 USDT|3053095.0830 EOS,0.8745 USD|1.0000 USD|0.8745 USD
252887958,1655613602,fdd4e262687f61ece8350139a1fa9bb61f6c90b7e9244f4f5f6e25e7f8da398b,danchorsmart,3263314.4396 EOS,2863558.4208 USD,2022-06-19T04:40:00,12536.4159 EOS|107300.7927 USDT|3128497.9182 EOS,0.8775 USD|1.0000 USD|0.8775 USD
252887958,1655613602,fdd4e262687f61ece8350139a1fa9bb61f6c90b7e9244f4f5f6e25e7f8da398b,lend.defi,1277943.6949 EOS,1121395.5923 USD,2022-06-19T04:40:00,453669.4305 EOS|723300.6671 USDT,0.8775 USD|1.0000 USD
252887958,1655613602,fdd4e262687f61ece8350139a1fa9bb61f6c90b7e9244f4f5f6e25e7f8da398b,lend.pizza,492465.9801 EOS,432138.8976 USD,2022-06-19T04:40:00,1.0000 EOS|12333.9221 EOS|305055.6725 USDT|132489.2661 EOS,0.8775 USD|0.8775 USD|1.0000 USD|0.8775 USD
252887958,1655613602,fdd4e262687f61ece8350139a1fa9bb61f6c90b7e9244f4f5f6e25e7f8da398b,swap.defi,7584006.3606 EOS,6654965.5815 USD,2022-06-19T04:40:00,1411829.8102 EOS|2736993.9878 USDT|3053095.0830 EOS,0.8775 USD|1.0000 USD|0.8775 USD
252889156,1655614201,3e606de87bfb04a0e4aaf721ed357b896de59d4c324be1e82e58e57fc4a4f611,danchorsmart,3263175.2476 EOS,2866699.4551 USD,2022-06-19T04:50:00,12536.4159 EOS|107300.7927 USDT|3128497.9182 EOS,0.8785 USD|1.0000 USD|0.8785 USD
252889156,1655614201,3e606de87bfb04a0e4aaf721ed357b896de59d4c324be1e82e58e57fc4a4f611,lend.defi,1277005.4202 EOS,1121849.2617 USD,2022-06-19T04:50:00,453669.4305 EOS|723300.6671 USDT,0.8785 USD|1.0000 USD
252889156,1655614201,3e606de87bfb04a0e4aaf721ed357b896de59d4c324be1e82e58e57fc4a4f611,lend.pizza,492070.2580 EOS,432283.7217 USD,2022-06-19T04:50:00,1.0000 EOS|12333.9221 EOS|305055.6725 USDT|132489.2661 EOS,0.8785 USD|0.8785 USD|1.0000 USD|0.8785 USD
252889156,1655614201,3e606de87bfb04a0e4aaf721ed357b896de59d4c324be1e82e58e57fc4a4f611,swap.defi,7580367.0363 EOS,6659352.4414 USD,2022-06-19T04:50:00,1411753.8048 EOS|2736982.6935 USDT|3053095.0830 EOS,0.8785 USD|1.0000 USD|0.8785 USD
252890357,1655614802,daef7078e370256b494c29a9bf457880afada9f0c7e9cfc318f5787463a26e23,danchorsmart,3263314.4396 EOS,2863558.4208 USD,2022-06-19T05:00:00,12536.4159 EOS|107300.7927 USDT|3128497.9182 EOS,0.8775 USD|1.0000 USD|0.8775 USD
252890357,1655614802,daef7078e370256b494c29a9bf457880afada9f0c7e9cfc318f5787463a26e23,lend.defi,1277943.6949 EOS,1121395.5923 USD,2022-06-19T05:00:00,453669.4305 EOS|723300.6671 USDT,0.8775 USD|1.0000 USD
252890357,1655614802,daef7078e370256b494c29a9bf457880afada9f0c7e9cfc318f5787463a26e23,lend.pizza,492466.0047 EOS,432138.9192 USD,2022-06-19T05:00:00,1.0000 EOS|12333.9467 EOS|305055.6725 USDT|132489.2661 EOS,0.8775 USD|0.8775 USD|1.0000 USD|0.8775 USD
252890357,1655614802,daef7078e370256b494c29a9bf457880afada9f0c7e9cfc318f5787463a26e23,swap.defi,7583799.0725 EOS,6654783.6862 USD,2022-06-19T05:00:00,1412216.9693 EOS|2736472.3604 USDT|3053095.0830 EOS,0.8775 USD|1.0000 USD|0.8775 USD
252891553,1655615400,4400259a501cc1c537cd5be996eb13fc9ddde0925a7495a151f98575606736cb,danchorsmart,3263343.1447 EOS,2862930.9409 USD,2022-06-19T05:10:00,12537.2446 EOS|107300.7927 USDT|3128497.9182 EOS,0.8773 USD|1.0000 USD|0.8773 USD
252891553,1655615400,4400259a501cc1c537cd5be996eb13fc9ddde0925a7495a151f98575606736cb,lend.defi,1278131.6065 EOS,1121304.8584 USD,2022-06-19T05:10:00,453669.4305 EOS|723300.6671 USDT,0.8773 USD|1.0000 USD
252891553,1655615400,4400259a501cc1c537cd5be996eb13fc9ddde0925a7495a151f98575606736cb,lend.pizza,492566.8497 EOS,432128.8973 USD,2022-06-19T05:10:00,1.0000 EOS|12333.9467 EOS|305074.6155 USDT|132489.2661 EOS,0.8773 USD|0.8773 USD|1.0000 USD|0.8773 USD
252891553,1655615400,4400259a501cc1c537cd5be996eb13fc9ddde0925a7495a151f98575606736cb,swap.defi,7583188.6590 EOS,6652731.4106 USD,2022-06-19T05:10:00,1409893.7878 EOS|2737351.2743 USDT|3053095.0830 EOS,0.8773 USD|1.0000 USD|0.8773 USD
252892757,1655616002,3914024229f7e86070ca78c497453b496a108eb729912cf314410cc936aaf919,danchorsmart,3264058.3141 EOS,2846911.6616 USD,2022-06-19T05:20:00,12537.2446 EOS|107300.7927 USDT|3128497.9182 EOS,0.8722 USD|1.0000 USD|0.8722 USD
252892757,1655616002,3914024229f7e86070ca78c497453b496a108eb729912cf314410cc936aaf919,lend.defi,1282952.4699 EOS,1118991.1443 USD,2022-06-19T05:20:00,453669.4305 EOS|723300.6671 USDT,0.8722 USD|1.0000 USD
252892757,1655616002,3914024229f7e86070ca78c497453b496a108eb729912cf314410cc936aaf919,lend.pizza,494600.1992 EOS,431390.2938 USD,2022-06-19T05:20:00,1.0000 EOS|12333.9467 EOS|305074.6155 USDT|132489.2661 EOS,0.8722 USD|0.8722 USD|1.0000 USD|0.8722 USD
252892757,1655616002,3914024229f7e86070ca78c497453b496a108eb729912cf314410cc936aaf919,swap.defi,7604682.5299 EOS,6632804.1026 USD,2022-06-19T05:20:00,1428357.2134 EOS|2724081.4098 USDT|3053095.0830 EOS,0.8722 USD|1.0000 USD|0.8722 USD
252893966,1655616606,3e1a84ba076fec138ada0b871b4930b05be0e3e021ed5c9c91e823e3ac796af7,danchorsmart,3265168.4258 EOS,2822411.5873 USD,2022-06-19T05:30:00,12537.2446 EOS|107300.7927 USDT|3128497.9182 EOS,0.8644 USD|1.0000 USD|0.8644 USD
252893966,1655616606,3e1a84ba076fec138ada0b871b4930b05be0e3e021ed5c9c91e823e3ac796af7,lend.defi,1290435.5886 EOS,1115452.5228 USD,2022-06-19T05:30:00,453669.4305 EOS|723300.6671 USDT,0.8644 USD|1.0000 USD
252893966,1655616606,3e1a84ba076fec138ada0b871b4930b05be0e3e021ed5c9c91e823e3ac796af7,lend.pizza,497694.4094 EOS,430207.0475 USD,2022-06-19T05:30:00,1.0000 EOS|12344.9581 EOS|305011.4798 USDT|132489.2661 EOS,0.8644 USD|0.8644 USD|1.0000 USD|0.8644 USD
252893966,1655616606,3e1a84ba076fec138ada0b871b4930b05be0e3e021ed5c9c91e823e3ac796af7,swap.defi,7634066.6780 EOS,6598887.2365 USD,2022-06-19T05:30:00,1435186.4002 EOS|2719216.7225 USDT|3053095.0830 EOS,0.8644 USD|1.0000 USD|0.8644 USD
252895155,1655617201,5ec749b25b4b76458d9269546b466bddad50b549d0ce2e84870c7ceb53758a29,danchorsmart,3265283.4173 EOS,2819898.7592 USD,2022-06-19T05:40:00,12537.2446 EOS|107300.7927 USDT|3128497.9182 EOS,0.8636 USD|1.0000 USD|0.8636 USD
252895155,1655617201,5ec749b25b4b76458d9269546b466bddad50b549d0ce2e84870c7ceb53758a29,lend.defi,1291210.7308 EOS,1115089.5872 USD,2022-06-19T05:40:00,453669.4305 EOS|723300.6671 USDT,0.8636 USD|1.0000 USD
252895155,1655617201,5ec749b25b4b76458d9269546b466bddad50b549d0ce2e84870c7ceb53758a29,lend.pizza,497979.0411 EOS,430054.6999 USD,2022-06-19T05:40:00,1.0000 EOS|12344.9581 EOS|304975.0003 USDT|132489.2661 EOS,0.8636 USD|0.8636 USD|1.0000 USD|0.8636 USD
