block_num,timestamp,transactionId,protocol,tvl,usd,period
252884357,1655611801,ad68135a924146045a91c6f07fb4059eaebafc1b2f20ce4af1d9b0b7a9156128,lend.defi,1279552.7368 EOS,1133608.0943 USD,2022-06-19T04:10:00
252884357,1655611801,ad68135a924146045a91c6f07fb4059eaebafc1b2f20ce4af1d9b0b7a9156128,lend.pizza,489089.8605 EOS,432574.3876 USD,2022-06-19T04:10:00
252884357,1655611801,ad68135a924146045a91c6f07fb4059eaebafc1b2f20ce4af1d9b0b7a9156128,swap.defi,7547793.7755 EOS,6675068.6431 USD,2022-06-19T04:10:00
252885556,1655612401,96d3acff57c91f6a053ccb3485bb8e455914a58fa14570c4a0cbd59a4e6028d1,danchorsmart,3298882.4831 EOS,2901361.6569 USD,2022-06-19T04:20:00
252885556,1655612401,96d3acff57c91f6a053ccb3485bb8e455914a58fa14570c4a0cbd59a4e6028d1,lend.defi,1279538.0994 EOS,1133686.2316 USD,2022-06-19T04:20:00
252885556,1655612401,96d3acff57c91f6a053ccb3485bb8e455914a58fa14570c4a0cbd59a4e6028d1,lend.pizza,489246.7922 EOS,432101.0525 USD,2022-06-19T04:20:00
252885556,1655612401,96d3acff57c91f6a053ccb3485bb8e455914a58fa14570c4a0cbd59a4e6028d1,swap.defi,7548991.5911 EOS,6673873.0539 USD,2022-06-19T04:20:00
252886757,1655613001,d6c2015d0a0cd16d07dd0d0724f5e4a387b886bd87f9e2150617a166544f7498,danchorsmart,3298814.2100 EOS,2902949.5646 USD,2022-06-19T04:30:00
252886757,1655613001,d6c2015d0a0cd16d07dd0d0724f5e4a387b886bd87f9e2150617a166544f7498,lend.defi,1279699.6884 EOS,1128614.4050 USD,2022-06-19T04:30:00
252886757,1655613001,d6c2015d0a0cd16d07dd0d0724f5e4a387b886bd87f9e2150617a166544f7498,lend.pizza,489465.4869 EOS,432466.4692 USD,2022-06-19T04:30:00
252886757,1655613001,d6c2015d0a0cd16d07dd0d0724f5e4a387b886bd87f9e2150617a166544f7498,swap.defi,7553792.9998 EOS,6669616.2693 USD,2022-06-19T04:30:00
252887958,1655613602,fdd4e262687f61ece8350139a1fa9bb61f6c90b7e9244f4f5f6e25e7f8da398b,danchorsmart,3298819.5955 EOS,2902843.7801 USD,2022-06-19T04:40:00
252887958,1655613602,fdd4e262687f61ece8350139a1fa9bb61f6c90b7e9244f4f5f6e25e7f8da398b,lend.defi,1279657.5328 EOS,1128624.3056 USD,2022-06-19T04:40:00
252887958,1655613602,fdd4e262687f61ece8350139a1fa9bb61f6c90b7e9244f4f5f6e25e7f8da398b,lend.pizza,489536.5998 EOS,431609.8856 USD,2022-06-19T04:40:00
252887958,1655613602,fdd4e262687f61ece8350139a1fa9bb61f6c90b7e9244f4f5f6e25e7f8da398b,swap.defi,7554288.3146 EOS,6671339.6403 USD,2022-06-19T04:40:00
252889156,1655614201,3e606de87bfb04a0e4aaf721ed357b896de59d4c324be1e82e58e57fc4a4f611,danchorsmart,3298900.2516 EOS,2901042.8631 USD,2022-06-19T04:50:00
252889156,1655614201,3e606de87bfb04a0e4aaf721ed357b896de59d4c324be1e82e58e57fc4a4f611,lend.defi,1280464.0204 EOS,1133160.6142 USD,2022-06-19T04:50:00
252889156,1655614201,3e606de87bfb04a0e4aaf721ed357b896de59d4c324be1e82e58e57fc4a4f611,lend.pizza,489837.0281 EOS,432151.5559 USD,2022-06-19T04:50:00
252889156,1655614201,3e606de87bfb04a0e4aaf721ed357b896de59d4c324be1e82e58e57fc4a4f611,swap.defi,7554823.7518 EOS,6671084.1136 USD,2022-06-19T04:50:00
252890357,1655614802,daef7078e370256b494c29a9bf457880afada9f0c7e9cfc318f5787463a26e23,danchorsmart,3298910.2058 EOS,2900831.2233 USD,2022-06-19T05:00:00
252890357,1655614802,daef7078e370256b494c29a9bf457880afada9f0c7e9cfc318f5787463a26e23,lend.defi,1280379.9065 EOS,1133086.9311 USD,2022-06-19T05:00:00
252890357,1655614802,daef7078e370256b494c29a9bf457880afada9f0c7e9cfc318f5787463a26e23,lend.pizza,490270.0872 EOS,432935.7755 USD,2022-06-19T05:00:00
252890357,1655614802,daef7078e370256b494c29a9bf457880afada9f0c7e9cfc318f5787463a26e23,swap.defi,7555545.1796 EOS,6670967.4826 USD,2022-06-19T05:00:00
252891553,1655615400,4400259a501cc1c537cd5be996eb13fc9ddde0925a7495a151f98575606736cb,danchorsmart,3298954.0398 EOS,2925621.1234 USD,2022-06-19T05:10:00
252891553,1655615400,4400259a501cc1c537cd5be996eb13fc9ddde0925a7495a151f98575606736cb,lend.defi,1280621.3713 EOS,1129326.7797 USD,2022-06-19T05:10:00
252891553,1655615400,4400259a501cc1c537cd5be996eb13fc9ddde0925a7495a151f98575606736cb,lend.pizza,490591.1318 EOS,432850.3517 USD,2022-06-19T05:10:00
252891553,1655615400,4400259a501cc1c537cd5be996eb13fc9ddde0925a7495a151f98575606736cb,swap.defi,7556125.8454 EOS,6669718.9372 USD,2022-06-19T05:10:00
252892757,1655616002,3914024229f7e86070ca78c497453b496a108eb729912cf314410cc936aaf919,danchorsmart,3298958.4515 EOS,2925514.9643 USD,2022-06-19T05:20:00
252892757,1655616002,3914024229f7e86070ca78c497453b496a108eb729912cf314410cc936aaf919,lend.defi,1281067.3740 EOS,1129079.6208 USD,2022-06-19T05:20:00
252892757,1655616002,3914024229f7e86070ca78c497453b496a108eb729912cf314410cc936aaf919,lend.pizza,490710.6643 EOS,432991.1080 USD,2022-06-19T05:20:00
252892757,1655616002,3914024229f7e86070ca78c497453b496a108eb729912cf314410cc936aaf919,swap.defi,7557869.3066 EOS,6668232.2250 USD,2022-06-19T05:20:00
252893966,1655616606,3e1a84ba076fec138ada0b871b4930b05be0e3e021ed5c9c91e823e3ac796af7,danchorsmart,3288359.9048 EOS,2892432.2035 USD,2022-06-19T05:30:00
252893966,1655616606,3e1a84ba076fec138ada0b871b4930b05be0e3e021ed5c9c91e823e3ac796af7,lend.defi,1281633.2626 EOS,1128766.6271 USD,2022-06-19T05:30:00
252893966,1655616606,3e1a84ba076fec138ada0b871b4930b05be0e3e021ed5c9c91e823e3ac796af7,lend.pizza,491380.0929 EOS,433152.1997 USD,2022-06-19T05:30:00
252893966,1655616606,3e1a84ba076fec138ada0b871b4930b05be0e3e021ed5c9c91e823e3ac796af7,swap.defi,7558965.5359 EOS,6665667.8338 USD,2022-06-19T05:30:00
252895155,1655617201,5ec749b25b4b76458d9269546b466bddad50b549d0ce2e84870c7ceb53758a29,danchorsmart,3288386.6299 EOS,2891796.0445 USD,2022-06-19T05:40:00
252895155,1655617201,5ec749b25b4b76458d9269546b466bddad50b549d0ce2e84870c7ceb53758a29,lend.defi,1282515.6463 EOS,1128939.2657 USD,2022-06-19T05:40:00
252895155,1655617201,5ec749b25b4b76458d9269546b466bddad50b549d0ce2e84870c7ceb53758a29,lend.pizza,491689.9588 EOS,432946.4219 USD,2022-06-19T05:40:00
252895155,1655617201,5ec749b25b4b76458d9269546b466bddad50b549d0ce2e84870c7ceb53758a29,swap.defi,7563450.1911 EOS,6662296.1425 USD,2022-06-19T05:40:00
252896365,1655617806,752c8422caaad611b2d5fd6bba7348f5732392ea007731b4f4de8658990f14c8,danchorsmart,3288435.7191 EOS,2890629.7529 USD,2022-06-19T05:50:00
252896365,1655617806,752c8422caaad611b2d5fd6bba7348f5732392ea007731b4f4de8658990f14c8,lend.defi,1283250.5426 EOS,1128729.8965 USD,2022-06-19T05:50:00
252896365,1655617806,752c8422caaad611b2d5fd6bba7348f5732392ea007731b4f4de8658990f14c8,lend.pizza,491850.4057 EOS,432888.4550 USD,2022-06-19T05:50:00
252896365,1655617806,752c8422caaad611b2d5fd6bba7348f5732392ea007731b4f4de8658990f14c8,swap.defi,7565022.1604 EOS,6660641.9912 USD,2022-06-19T05:50:00
252897555,1655618401,dac6f0cb84143a8f88cc71f29f32a0b46137761017fa4f22af056d7acacde486,danchorsmart,3288453.5177 EOS,2882585.7708 USD,2022-06-19T06:00:00
252897555,1655618401,dac6f0cb84143a8f88cc71f29f32a0b46137761017fa4f22af056d7acacde486,lend.defi,1283460.9847 EOS,1128613.3813 USD,2022-06-19T06:00:00
252897555,1655618401,dac6f0cb84143a8f88cc71f29f32a0b46137761017fa4f22af056d7acacde486,lend.pizza,491945.7371 EOS,432855.9828 USD,2022-06-19T06:00:00
252897555,1655618401,dac6f0cb84143a8f88cc71f29f32a0b46137761017fa4f22af056d7acacde486,swap.defi,7566402.1164 EOS,6660080.2905 USD,2022-06-19T06:00:00
252898756,1655619001,3800b9cda776bc11fc627b96bacc0f2ccd73d247ffc1d37ec95ac0f89e4688ec,danchorsmart,3288448.9229 EOS,2890309.3317 USD,2022-06-19T06:10:00
252898756,1655619001,3800b9cda776bc11fc627b96bacc0f2ccd73d247ffc1d37ec95ac0f89e4688ec,lend.defi,1284034.4197 EOS,1128082.4931 USD,2022-06-19T06:10:00
252898756,1655619001,3800b9cda776bc11fc627b96bacc0f2ccd73d247ffc1d37ec95ac0f89e4688ec,lend.pizza,492113.7694 EOS,431991.7298 USD,2022-06-19T06:10:00
